publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Proceedings of the Geologists' Association	0016-7878								http://www.sciencedirect.com/science/journal/00167878		00167878													
International Journal of Heat and Mass Transfer	0017-9310								http://www.sciencedirect.com/science/journal/00179310		00179310													
HOMO - Journal of Comparative Human Biology	0018-442X								http://www.sciencedirect.com/science/journal/0018442X		0018442X													
Hormones and Behavior	0018-506X								http://www.sciencedirect.com/science/journal/0018506X		0018506X													
ISA Transactions	0019-0578								http://www.sciencedirect.com/science/journal/00190578		00190578													
Icarus	0019-1035								http://www.sciencedirect.com/science/journal/00191035		00191035													
Immunochemistry	0019-2791								http://www.sciencedirect.com/science/journal/00192791		00192791													
Indagationes Mathematicae	0019-3577								http://www.sciencedirect.com/science/journal/00193577		00193577													
Indian Heart Journal	0019-4832								http://www.sciencedirect.com/science/journal/00194832		00194832													
Industrial Marketing Management	0019-8501								http://www.sciencedirect.com/science/journal/00198501		00198501													
Information and Control	0019-9958								http://www.sciencedirect.com/science/journal/00199958		00199958													
Information Processing Letters	0020-0190								http://www.sciencedirect.com/science/journal/00200190		00200190													
Information Sciences	0020-0255								http://www.sciencedirect.com/science/journal/00200255		00200255													
Information Storage and Retrieval	0020-0271								http://www.sciencedirect.com/science/journal/00200271		00200271													
Infrared Physics	0020-0891								http://www.sciencedirect.com/science/journal/00200891		00200891													
Injury	0020-1383								http://www.sciencedirect.com/science/journal/00201383		00201383													
Inorganic and Nuclear Chemistry Letters	0020-1650								http://www.sciencedirect.com/science/journal/00201650		00201650													
Inorganica Chimica Acta	0020-1693								http://www.sciencedirect.com/science/journal/00201693		00201693													
Insect Biochemistry	0020-1790								http://www.sciencedirect.com/science/journal/00201790		00201790													
Bulletin de l'Institut Pasteur	0020-2452								http://www.sciencedirect.com/science/journal/00202452		00202452													
International Journal for Radiation Physics and Chemistry	0020-7055								http://www.sciencedirect.com/science/journal/00207055		00207055													
The International Journal of Accounting	1094-4060	2213-3933							http://www.sciencedirect.com/science/journal/00207063		00207063													
The International Journal of Applied Radiation and Isotopes	0020-708X								http://www.sciencedirect.com/science/journal/0020708X		0020708X													
International Journal of Bio-Medical Computing	0020-7101								http://www.sciencedirect.com/science/journal/00207101		00207101													
International Journal of Biochemistry	0020-711X								http://www.sciencedirect.com/science/journal/0020711X		0020711X													
International Journal of Engineering Science	0020-7225								http://www.sciencedirect.com/science/journal/00207225		00207225													
International Journal of Gynecology & Obstetrics	0020-7292								http://www.sciencedirect.com/science/journal/00207292		00207292													
International Journal of Insect Morphology and Embryology	0020-7322								http://www.sciencedirect.com/science/journal/00207322		00207322													
International Journal of Machine Tool Design and Research	0020-7357								http://www.sciencedirect.com/science/journal/00207357		00207357													
International Journal of Man-Machine Studies	0020-7373								http://www.sciencedirect.com/science/journal/00207373		00207373													
International Journal of Mass Spectrometry and Ion Physics	0020-7381								http://www.sciencedirect.com/science/journal/00207381		00207381													
International Journal of Mechanical Sciences	0020-7403								http://www.sciencedirect.com/science/journal/00207403		00207403													
International Journal of Non-Linear Mechanics	0020-7462								http://www.sciencedirect.com/science/journal/00207462		00207462													
International Journal of Nursing Studies	0020-7489								http://www.sciencedirect.com/science/journal/00207489		00207489													
International Journal for Parasitology	0020-7519								http://www.sciencedirect.com/science/journal/00207519		00207519													
International Journal of Solids and Structures	0020-7683								http://www.sciencedirect.com/science/journal/00207683		00207683													
International Library Review	0020-7837								http://www.sciencedirect.com/science/journal/00207837		00207837													
Japanese Journal of Ophthalmology	0021-5155	1613-2246							http://www.sciencedirect.com/science/journal/00215155		00215155													
Journal de Chirurgie	0021-7697								http://www.sciencedirect.com/science/journal/00217697		00217697													
Journal de Math̩matiques Pures et Appliqu̩es	0021-7824								http://www.sciencedirect.com/science/journal/00217824		00217824													
Journal of Aerosol Science	0021-8502								http://www.sciencedirect.com/science/journal/00218502		00218502													
Journal of Agricultural Engineering Research	0021-8634								http://www.sciencedirect.com/science/journal/00218634		00218634													
Journal of Algebra	0021-8693								http://www.sciencedirect.com/science/journal/00218693		00218693													
Journal of Allergy	0021-8707								http://www.sciencedirect.com/science/journal/00218707		00218707													
Journal of Applied Mathematics and Mechanics	0021-8928								http://www.sciencedirect.com/science/journal/00218928		00218928													
Journal of Approximation Theory	0021-9045								http://www.sciencedirect.com/science/journal/00219045		00219045													
Atherosclerosis	0021-9150								http://www.sciencedirect.com/science/journal/00219150		00219150													
Journal of Atmospheric and Terrestrial Physics	0021-9169								http://www.sciencedirect.com/science/journal/00219169		00219169													
Journal of Biomechanics	0021-9290								http://www.sciencedirect.com/science/journal/00219290		00219290													
Journal of Catalysis	0021-9517								http://www.sciencedirect.com/science/journal/00219517		00219517													
The Journal of Chemical Thermodynamics	0021-9614								http://www.sciencedirect.com/science/journal/00219614		00219614													
Journal of Chromatography A	0021-9673								http://www.sciencedirect.com/science/journal/00219673		00219673													
Journal of Chronic Diseases	0021-9681								http://www.sciencedirect.com/science/journal/00219681		00219681													
Journal of Colloid and Interface Science	0021-9797								http://www.sciencedirect.com/science/journal/00219797		00219797													
Journal of Combinatorial Theory	0021-9800								http://www.sciencedirect.com/science/journal/00219800		00219800													
Journal of Communication Disorders	0021-9924								http://www.sciencedirect.com/science/journal/00219924		00219924													
Journal of Comparative Pathology	0021-9975								http://www.sciencedirect.com/science/journal/00219975		00219975													
Journal of Computational Physics	0021-9991								http://www.sciencedirect.com/science/journal/00219991		00219991													
Journal of Computer and System Sciences	0022-0000								http://www.sciencedirect.com/science/journal/00220000		00220000													
Journal of Crystal Growth	0022-0248								http://www.sciencedirect.com/science/journal/00220248		00220248													
Journal of Dairy Science	0022-0302								http://www.sciencedirect.com/science/journal/00220302		00220302													
Journal of Differential Equations	0022-0396								http://www.sciencedirect.com/science/journal/00220396		00220396													
Journal of Economic Theory	0022-0531								http://www.sciencedirect.com/science/journal/00220531		00220531													
Journal of Electroanalytical Chemistry and Interfacial Electrochemistry	0022-0728								http://www.sciencedirect.com/science/journal/00220728		00220728													
Journal of Electrocardiology	0022-0736								http://www.sciencedirect.com/science/journal/00220736		00220736													
Journal of Experimental Child Psychology	0022-0965								http://www.sciencedirect.com/science/journal/00220965		00220965													
Journal of Experimental Marine Biology and Ecology	0022-0981								http://www.sciencedirect.com/science/journal/00220981		00220981													
Journal of Experimental Social Psychology	0022-1031								http://www.sciencedirect.com/science/journal/00221031		00221031													
Journal of Fluorine Chemistry	0022-1139								http://www.sciencedirect.com/science/journal/00221139		00221139													
Journal of Functional Analysis	0022-1236								http://www.sciencedirect.com/science/journal/00221236		00221236													
Journal of Hydrology	0022-1694								http://www.sciencedirect.com/science/journal/00221694		00221694													
Journal of Immunological Methods	0022-1759								http://www.sciencedirect.com/science/journal/00221759		00221759													
Journal of Inorganic and Nuclear Chemistry	0022-1902								http://www.sciencedirect.com/science/journal/00221902		00221902													
Journal of Insect Physiology	0022-1910								http://www.sciencedirect.com/science/journal/00221910		00221910													
Journal of International Economics	0022-1996								http://www.sciencedirect.com/science/journal/00221996		00221996													
Journal of Invertebrate Pathology	0022-2011								http://www.sciencedirect.com/science/journal/00222011		00222011													
Journal of Laboratory and Clinical Medicine	0022-2143								http://www.sciencedirect.com/science/journal/00222143		00222143													
Journal of Luminescence	0022-2313								http://www.sciencedirect.com/science/journal/00222313		00222313													
Journal of Magnetic Resonance (1969)	0022-2364								http://www.sciencedirect.com/science/journal/00222364		00222364													
Journal of Mathematical Analysis and Applications	0022-247X								http://www.sciencedirect.com/science/journal/0022247X		0022247X													
Journal of Mathematical Psychology	0022-2496								http://www.sciencedirect.com/science/journal/00222496		00222496													
Journal of Mechanisms	0022-2569								http://www.sciencedirect.com/science/journal/00222569		00222569													
Journal of Molecular and Cellular Cardiology	0022-2828								http://www.sciencedirect.com/science/journal/00222828		00222828													
Journal of Molecular Biology	0022-2836								http://www.sciencedirect.com/science/journal/00222836		00222836													
Journal of Molecular Spectroscopy	0022-2852								http://www.sciencedirect.com/science/journal/00222852		00222852													
Journal of Molecular Structure	0022-2860								http://www.sciencedirect.com/science/journal/00222860		00222860													
Journal of Non-Crystalline Solids	0022-3093								http://www.sciencedirect.com/science/journal/00223093		00223093													
Journal of Nuclear Energy	0022-3107								http://www.sciencedirect.com/science/journal/00223107		00223107													
Journal of Nuclear Materials	0022-3115								http://www.sciencedirect.com/science/journal/00223115		00223115													
Journal of Number Theory	0022-314X								http://www.sciencedirect.com/science/journal/0022314X		0022314X													
Journal of Nutrition Education	0022-3182								http://www.sciencedirect.com/science/journal/00223182		00223182													
Journal of Organometallic Chemistry	0022-328X								http://www.sciencedirect.com/science/journal/0022328X		0022328X													
Journal of Pediatric Surgery	0022-3468								http://www.sciencedirect.com/science/journal/00223468		00223468													
The Journal of Pediatrics	0022-3476								http://www.sciencedirect.com/science/journal/00223476		00223476													
Journal of Physics and Chemistry of Solids	0022-3697								http://www.sciencedirect.com/science/journal/00223697		00223697													
